#1	
double tab1(17520,2)   # comment line	
0	0
3600	0
3601	0
7200	0
7201	0
10800	0
10801	0
14400	0
14401	0
18000	0
18001	0
21600	0
21601	0
25200	0
25201	0
28800	0
28801	0
32400	0
32401	0
36000	0
36001	0
39600	0
39601	0
43200	0
43201	0
46800	0
46801	0
50400	0
50401	0
54000	0
54001	0
57600	0
57601	0
61200	0
61201	0
64800	0
64801	0
68400	0
68401	0.973494694467434
72000	0.973494694467434
72001	1
75600	1
75601	1
79200	1
79201	1
82800	1
82801	1
86400	1
86401	0
90000	0
90001	0
93600	0
93601	0
97200	0
97201	0
100800	0
100801	0
104400	0
104401	0
108000	0
108001	0
111600	0
111601	0
115200	0
115201	0
118800	0
118801	0
122400	0
122401	0
126000	0
126001	0
129600	0
129601	0
133200	0
133201	0
136800	0
136801	0
140400	0
140401	4.04E-17
144000	4.04E-17
144001	0.00E+00
147600	0.00E+00
147601	0.00E+00
151200	0.00E+00
151201	0
154800	0
154801	0.224730765184441
158400	0.224730765184441
158401	1
162000	1
162001	1
165600	1
165601	1
169200	1
169201	1
172800	1
172801	0
176400	0
176401	0
180000	0
180001	0
183600	0
183601	0
187200	0
187201	0
190800	0
190801	0
194400	0
194401	0
198000	0
198001	0
201600	0
201601	0
205200	0
205201	0
208800	0
208801	0
212400	0
212401	0
216000	0
216001	0.00E+00
219600	0.00E+00
219601	3.03E-17
223200	3.03E-17
223201	0.00E+00
226800	0.00E+00
226801	0.00E+00
230400	0.00E+00
230401	5.05E-17
234000	5.05E-17
234001	0.00E+00
237600	0.00E+00
237601	0.77710314309981
241200	0.77710314309981
241201	1
244800	1
244801	1
248400	1
248401	1
252000	1
252001	1
255600	1
255601	1
259200	1
259201	0
262800	0
262801	0
266400	0
266401	0
270000	0
270001	0
273600	0
273601	0
277200	0
277201	0
280800	0
280801	0
284400	0
284401	0
288000	0
288001	0
291600	0
291601	0
295200	0
295201	0
298800	0
298801	0.00E+00
302400	0.00E+00
