#1	
double tab1(17520,2)   # comment line	
0	1
3600	1
3601	1
7200	1
7201	1
10800	1
10801	1
14400	1
14401	1
18000	1
18001	1
21600	1
21601	1
25200	1
25201	1
28800	1
28801	1
32400	1
32401	1
36000	1
36001	1
39600	1
39601	1
43200	1
43201	1
46800	1
46801	1
50400	1
50401	1
54000	1
54001	1
57600	1
57601	1
61200	1
61201	0.499607601449472
64800	0.499607601449472
64801	0.529230727017238
68400	0.529230727017238
68401	0.849243316173212
72000	0.849243316173212
72001	1
75600	1
75601	1
79200	1
79201	1
82800	1
82801	1
86400	1
86401	1
90000	1
90001	1
93600	1
93601	1
97200	1
97201	1
100800	1
100801	1
104400	1
104401	1
108000	1
108001	1
111600	1
111601	1
115200	1
115201	1
118800	1
118801	1
122400	1
122401	1
126000	1
126001	1
129600	1
129601	1
133200	1
133201	1
136800	1
136801	1
140400	1
140401	1
144000	1
144001	1
147600	1
147601	0.388245305828532
151200	0.388245305828532
151201	0.427682518642359
154800	0.427682518642359
154801	0.750294601160165
158400	0.750294601160165
158401	0.996516435660212
162000	0.996516435660212
162001	1
165600	1
165601	1
169200	1
169201	1
172800	1
172801	1
176400	1
176401	1
180000	1
180001	1
183600	1
183601	1
187200	1
187201	1
190800	1
190801	1
194400	1
194401	1
198000	1
198001	1
201600	1
201601	1
205200	1
205201	1
208800	1
208801	1
212400	1
212401	1
216000	1
216001	1
219600	1
219601	1
223200	1
223201	1
226800	1
226801	1
230400	1
230401	1
234000	1
234001	0.439219371043805
237600	0.439219371043805
237601	0.466970861391052
241200	0.466970861391052
241201	0.788375179300745
244800	0.788375179300745
244801	1
248400	1
248401	1
252000	1
252001	1
255600	1
255601	1
259200	1
259201	1
262800	1
262801	1
266400	1
266401	1
270000	1
270001	1
273600	1
273601	1
277200	1
277201	1
280800	1
280801	1
284400	1
284401	1
288000	1
288001	1
291600	1
291601	1
295200	1
295201	1
298800	1
298801	1
302400	1
302401	1
306000	1
306001	1
309600	1
309601	1
313200	1
313201	1
316800	1
316801	1
320400	1
320401	0.258246642413525
