HOUR;E_th_RH_HH;E_th_TWE_HH;E_el_HH;E_th_RH_GHD;E_th_TWE_GHD;E_el_GHD;E_th_KL_GHD;E_th_loss
0;204.8893051;5.515163735;26.29271176;153.9501786;0;4.951980903;0;0
900;202.9836233;3.744751004;24.39799461;153.8913634;0;4.93005941;0;0
1800;200.0794697;5.362342221;23.7919534;154.5597816;0;4.854337971;0;0
2700;207.0954458;3.740824094;23.46207894;154.2703491;0;4.773847719;0;0
3600;208.8763593;3.236780442;22.28676278;154.1296257;0;4.702653084;0;0
4500;210.5517902;2.12256079;21.30800526;153.9179543;0;4.670598569;0;0
5400;208.1910069;2.75714891;20.49032745;153.883088;0;4.677387577;0;0
6300;208.6503983;3.516334339;19.60105948;153.6853918;0;4.688753014;0;0
7200;214.2189334;2.91057013;19.10453751;153.4565379;0;4.688708449;0;0
8100;211.4419823;3.230263429;18.39772989;152.1568411;0;4.67014556;0;0
9000;220.8475512;1.972669334;17.67988842;151.983713;0;4.63465052;0;0
9900;221.9778551;0.884347954;17.08648909;151.700256;0;4.618194339;0;0
10800;224.6241306;4.315279966;16.80441879;151.4325929;0;4.639818148;0;0
11700;222.415003;1.060061009;16.5771451;148.5281741;0;4.731416248;0;0
12600;220.0073179;0.549780095;16.74309787;148.2879929;0;4.868776648;0;0
13500;221.2280433;0.818463097;16.97487915;147.8500235;0;5.02174232;0;0
14400;221.9778075;2.163411807;16.93408989;147.1791259;0;5.148327171;0;0
15300;220.1964529;1.068174382;16.77395016;145.3241107;0;5.229055384;0;0
16200;225.0137753;1.305728864;16.71518052;145.2155566;0;5.259923676;0;0
17100;224.4795335;1.987565257;16.89333652;145.2707165;0;5.260913515;0;0
18000;225.608145;2.336812503;17.1501476;144.8194091;0;5.259814794;0;0
18900;225.7513398;1.882390061;17.14807322;144.8313258;0;5.257901728;0;0
19800;226.295515;1.410485283;17.75620662;144.6569233;0;5.26956774;0;0
20700;227.2437909;2.649258615;18.16666612;144.8531657;0;5.301335013;0;0
21600;239.4382815;2.209252046;18.15922337;144.9011938;0;5.3405753;0;0
22500;248.6117612;4.178595745;19.16088994;148.1947923;0;5.398983402;0;0
23400;246.742594;11.05670063;19.40902395;148.3273965;0;5.466222828;0;0
24300;248.6473497;4.818199693;20.07526765;148.9573667;0;5.548432602;0;0
25200;245.8199669;12.71852359;20.55291236;149.1653253;0;5.608293131;0;0
26100;249.0983021;16.42480182;21.05178689;151.3253226;0;5.649676346;0;0
27000;248.4150009;21.80492196;21.35120613;150.9828642;0;5.666124602;0;0
27900;248.7635111;35.26702388;23.2442131;150.2771567;0;5.66781857;0;0
28800;248.0740884;28.36659938;24.11405127;150.3344243;0;5.667881702;0;0
29700;251.6036081;35.65776922;25.19447671;150.3697778;0;5.654097255;0;0
30600;253.7564814;31.92821138;26.20637367;150.0616613;0;5.654512291;0;0
31500;260.438287;34.13563892;26.34248823;149.1325157;0;5.661360208;0;0
32400;255.4380066;109.9544807;29.07484589;148.2762426;0;5.704251107;0;0
