sec;CHP;Electrolysis;Heatpump;Boiler;Beladen TES;Entladen TES;date
0;1;0;0.676627853;0;1;0;01.01.2018 00:00
3600;1;0;0.675512685;0.25;1;0;01.01.2018 01:00
7200;1;1;0.675512685;0;0;1;01.01.2018 02:00
10800;1;1;0.6777464;0.25;1;0;01.01.2018 03:00
14400;1;1;0.6777464;0;0;1;01.01.2018 04:00
18000;1;1;0.679993693;0;0;1;01.01.2018 05:00
21600;1;1;0.674400883;0.25;1;0;01.01.2018 06:00
25200;1;1;0.674400883;0;0;1;01.01.2018 07:00
28800;1;1;0.672187314;0.25;1;0;01.01.2018 08:00
32400;1;1;0.676627853;0.25;0;1;01.01.2018 09:00
36000;1;1;0.679993693;0.25;0;1;01.01.2018 10:00
39600;1;1;0.682254686;0.25;0;1;01.01.2018 11:00
43200;1;1;0.679993693;0.25;1;0;01.01.2018 12:00
46800;1;0.840530229;0.675512685;0.25;1;0;01.01.2018 13:00
50400;1;0;0.675512685;0.25;1;0;01.01.2018 14:00
54000;1;0;0.674400883;0.25;1;0;01.01.2018 15:00
57600;1;0;0.671085518;0;0;1;01.01.2018 16:00
61200;1;0;0.667799912;0.25;1;0;01.01.2018 17:00
64800;1;0;0.660247063;0;0;1;01.01.2018 18:00
68400;1;0;0.65284936;0.25;1;0;01.01.2018 19:00
72000;1;0;0.660247063;0;0;1;01.01.2018 20:00
75600;1;0;0.663464726;0.25;1;0;01.01.2018 21:00
79200;1;0;0.663464726;0.25;1;0;01.01.2018 22:00
82800;1;0;0.661316433;0;0;1;01.01.2018 23:00
86400;1;0;0.660247063;0.25;1;0;02.01.2018 00:00
90000;1;0;0.663464726;0.25;1;0;02.01.2018 01:00
93600;1;0;0.662388983;0;0;1;02.01.2018 02:00
97200;1;0;0.663464726;0.25;1;0;02.01.2018 03:00
100800;1;0;0.657057893;0.25;1;0;02.01.2018 04:00
104400;1;0;0.65076358;0;0;1;02.01.2018 05:00
108000;1;0;0.64662847;0.25;1;0;02.01.2018 06:00
111600;1;0;0.644578935;0.25;0;1;02.01.2018 07:00
115200;1;0;0.649725266;0.25;0;1;02.01.2018 08:00
118800;1;0;0.654947429;0.283170542;0;1;02.01.2018 09:00
122400;1;0.519376764;0.658117806;0.25692814;0;0;02.01.2018 10:00
126000;1;0.5;0.664543677;0.25;1;0;02.01.2018 11:00
129600;1;0.686982966;0.671085518;0.25;1;0;02.01.2018 12:00
133200;1;0.937384288;0.666711255;0.25;1;0;02.01.2018 13:00
136800;1;0.669011827;0.669987029;0;0;1;02.01.2018 14:00
140400;1;0;0.664543677;0.25;1;0;02.01.2018 15:00
144000;1;0;0.660247063;0.25;1;0;02.01.2018 16:00
147600;1;0;0.647657724;0;0;1;02.01.2018 17:00
151200;1;0;0.65076358;0.25;1;0;02.01.2018 18:00
154800;1;0;0.637498451;0.25;1;0;02.01.2018 19:00
158400;1;0;0.6405154;0;0;1;02.01.2018 20:00
