sec;CHP;Electrolysis;Heatpump;Boiler;Beladen TES;Entladen TES;date
0;-1;-1;-1;-1;-1;-1;01.01.2018 00:00
3600;-1;-1;-1;-1;-1;-1;01.01.2018 01:00
7200;-1;-1;-1;-1;-1;-1;01.01.2018 02:00
10800;-1;-1;-1;-1;-1;-1;01.01.2018 03:00
14400;-1;-1;-1;-1;-1;-1;01.01.2018 04:00
18000;-1;-1;-1;-1;-1;-1;01.01.2018 05:00
21600;-1;-1;-1;-1;-1;-1;01.01.2018 06:00
25200;-1;-1;-1;-1;-1;-1;01.01.2018 07:00
28800;-1;-1;-1;-1;-1;-1;01.01.2018 08:00
32400;-1;-1;-1;-1;-1;-1;01.01.2018 09:00
36000;-1;-1;-1;-1;-1;-1;01.01.2018 10:00
39600;-1;-1;-1;-1;-1;-1;01.01.2018 11:00
43200;-1;-1;-1;-1;-1;-1;01.01.2018 12:00
46800;-1;-1;-1;-1;-1;-1;01.01.2018 13:00
50400;-1;-1;-1;-1;-1;-1;01.01.2018 14:00
54000;-1;-1;-1;-1;-1;-1;01.01.2018 15:00
57600;-1;-1;-1;-1;-1;-1;01.01.2018 16:00
61200;-1;-1;-1;-1;-1;-1;01.01.2018 17:00
64800;-1;-1;-1;-1;-1;-1;01.01.2018 18:00
68400;-1;-1;-1;-1;-1;-1;01.01.2018 19:00
72000;-1;-1;-1;-1;-1;-1;01.01.2018 20:00
75600;-1;-1;-1;-1;-1;-1;01.01.2018 21:00
79200;-1;-1;-1;-1;-1;-1;01.01.2018 22:00
82800;-1;-1;-1;-1;-1;-1;01.01.2018 23:00
86400;-1;-1;-1;-1;-1;-1;02.01.2018 00:00
90000;-1;-1;-1;-1;-1;-1;02.01.2018 01:00
93600;-1;-1;-1;-1;-1;-1;02.01.2018 02:00
97200;-1;-1;-1;-1;-1;-1;02.01.2018 03:00
100800;-1;-1;-1;-1;-1;-1;02.01.2018 04:00
104400;-1;-1;-1;-1;-1;-1;02.01.2018 05:00
108000;-1;-1;-1;-1;-1;-1;02.01.2018 06:00
111600;-1;-1;-1;-1;-1;-1;02.01.2018 07:00
115200;-1;-1;-1;-1;-1;-1;02.01.2018 08:00
118800;-1;-1;-1;-1;-1;-1;02.01.2018 09:00
122400;-1;-1;-1;-1;-1;-1;02.01.2018 10:00
126000;-1;-1;-1;-1;-1;-1;02.01.2018 11:00
129600;-1;-1;-1;-1;-1;-1;02.01.2018 12:00
133200;-1;-1;-1;-1;-1;-1;02.01.2018 13:00
136800;-1;-1;-1;-1;-1;-1;02.01.2018 14:00
140400;-1;-1;-1;-1;-1;-1;02.01.2018 15:00
144000;-1;-1;-1;-1;-1;-1;02.01.2018 16:00
147600;-1;-1;-1;-1;-1;-1;02.01.2018 17:00
151200;-1;-1;-1;-1;-1;-1;02.01.2018 18:00
154800;-1;-1;-1;-1;-1;-1;02.01.2018 19:00
158400;-1;-1;-1;-1;-1;-1;02.01.2018 20:00
162000;-1;-1;-1;-1;-1;-1;02.01.2018 21:00
165600;-1;-1;-1;-1;-1;-1;02.01.2018 22:00
169200;-1;-1;-1;-1;-1;-1;02.01.2018 23:00
172800;-1;-1;-1;-1;-1;-1;03.01.2018 00:00
176400;-1;-1;-1;-1;-1;-1;03.01.2018 01:00
180000;-1;-1;-1;-1;-1;-1;03.01.2018 02:00
183600;-1;-1;-1;-1;-1;-1;03.01.2018 03:00
187200;-1;-1;-1;-1;-1;-1;03.01.2018 04:00
190800;-1;-1;-1;-1;-1;-1;03.01.2018 05:00
194400;-1;-1;-1;-1;-1;-1;03.01.2018 06:00
198000;-1;-1;-1;-1;-1;-1;03.01.2018 07:00
201600;-1;-1;-1;-1;-1;-1;03.01.2018 08:00
205200;-1;-1;-1;-1;-1;-1;03.01.2018 09:00
208800;-1;-1;-1;-1;-1;-1;03.01.2018 10:00
212400;-1;-1;-1;-1;-1;-1;03.01.2018 11:00
216000;-1;-1;-1;-1;-1;-1;03.01.2018 12:00
219600;-1;-1;-1;-1;-1;-1;03.01.2018 13:00
223200;-1;-1;-1;-1;-1;-1;03.01.2018 14:00
226800;-1;-1;-1;-1;-1;-1;03.01.2018 15:00
230400;-1;-1;-1;-1;-1;-1;03.01.2018 16:00
234000;-1;-1;-1;-1;-1;-1;03.01.2018 17:00
237600;-1;-1;-1;-1;-1;-1;03.01.2018 18:00
241200;-1;-1;-1;-1;-1;-1;03.01.2018 19:00
244800;-1;-1;-1;-1;-1;-1;03.01.2018 20:00
248400;-1;-1;-1;-1;-1;-1;03.01.2018 21:00
252000;-1;-1;-1;-1;-1;-1;03.01.2018 22:00
255600;-1;-1;-1;-1;-1;-1;03.01.2018 23:00
259200;-1;-1;-1;-1;-1;-1;04.01.2018 00:00
262800;-1;-1;-1;-1;-1;-1;04.01.2018 01:00
266400;-1;-1;-1;-1;-1;-1;04.01.2018 02:00
270000;-1;-1;-1;-1;-1;-1;04.01.2018 03:00
273600;-1;-1;-1;-1;-1;-1;04.01.2018 04:00
277200;-1;-1;-1;-1;-1;-1;04.01.2018 05:00
280800;-1;-1;-1;-1;-1;-1;04.01.2018 06:00
284400;-1;-1;-1;-1;-1;-1;04.01.2018 07:00
288000;-1;-1;-1;-1;-1;-1;04.01.2018 08:00
291600;-1;-1;-1;-1;-1;-1;04.01.2018 09:00
295200;-1;-1;-1;-1;-1;-1;04.01.2018 10:00
298800;-1;-1;-1;-1;-1;-1;04.01.2018 11:00
302400;-1;-1;-1;-1;-1;-1;04.01.2018 12:00
306000;-1;-1;-1;-1;-1;-1;04.01.2018 13:00
309600;-1;-1;-1;-1;-1;-1;04.01.2018 14:00
313200;-1;-1;-1;-1;-1;-1;04.01.2018 15:00
316800;-1;-1;-1;-1;-1;-1;04.01.2018 16:00
320400;-1;-1;-1;-1;-1;-1;04.01.2018 17:00
324000;-1;-1;-1;-1;-1;-1;04.01.2018 18:00
327600;-1;-1;-1;-1;-1;-1;04.01.2018 19:00
331200;-1;-1;-1;-1;-1;-1;04.01.2018 20:00
334800;-1;-1;-1;-1;-1;-1;04.01.2018 21:00
338400;-1;-1;-1;-1;-1;-1;04.01.2018 22:00
342000;-1;-1;-1;-1;-1;-1;04.01.2018 23:00
345600;-1;-1;-1;-1;-1;-1;05.01.2018 00:00
349200;-1;-1;-1;-1;-1;-1;05.01.2018 01:00
352800;-1;-1;-1;-1;-1;-1;05.01.2018 02:00
356400;-1;-1;-1;-1;-1;-1;05.01.2018 03:00
360000;-1;-1;-1;-1;-1;-1;05.01.2018 03:59
363600;-1;-1;-1;-1;-1;-1;05.01.2018 04:59
367200;-1;-1;-1;-1;-1;-1;05.01.2018 05:59
370800;-1;-1;-1;-1;-1;-1;05.01.2018 06:59
374400;-1;-1;-1;-1;-1;-1;05.01.2018 07:59
378000;-1;-1;-1;-1;-1;-1;05.01.2018 08:59
381600;-1;-1;-1;-1;-1;-1;05.01.2018 09:59
385200;-1;-1;-1;-1;-1;-1;05.01.2018 10:59
388800;-1;-1;-1;-1;-1;-1;05.01.2018 11:59
392400;-1;-1;-1;-1;-1;-1;05.01.2018 12:59
396000;-1;-1;-1;-1;-1;-1;05.01.2018 13:59
399600;-1;-1;-1;-1;-1;-1;05.01.2018 14:59
403200;-1;-1;-1;-1;-1;-1;05.01.2018 15:59
406800;-1;-1;-1;-1;-1;-1;05.01.2018 16:59
410400;-1;-1;-1;-1;-1;-1;05.01.2018 17:59
414000;-1;-1;-1;-1;-1;-1;05.01.2018 18:59
417600;-1;-1;-1;-1;-1;-1;05.01.2018 19:59
421200;-1;-1;-1;-1;-1;-1;05.01.2018 20:59
424800;-1;-1;-1;-1;-1;-1;05.01.2018 21:59
428400;-1;-1;-1;-1;-1;-1;05.01.2018 22:59
432000;-1;-1;-1;-1;-1;-1;05.01.2018 23:59
435600;-1;-1;-1;-1;-1;-1;06.01.2018 00:59
439200;-1;-1;-1;-1;-1;-1;06.01.2018 01:59
442800;-1;-1;-1;-1;-1;-1;06.01.2018 02:59
446400;-1;-1;-1;-1;-1;-1;06.01.2018 03:59
450000;-1;-1;-1;-1;-1;-1;06.01.2018 04:59
453600;-1;-1;-1;-1;-1;-1;06.01.2018 05:59
457200;-1;-1;-1;-1;-1;-1;06.01.2018 06:59
460800;-1;-1;-1;-1;-1;-1;06.01.2018 07:59
464400;-1;-1;-1;-1;-1;-1;06.01.2018 08:59
468000;-1;-1;-1;-1;-1;-1;06.01.2018 09:59
471600;-1;-1;-1;-1;-1;-1;06.01.2018 10:59
475200;-1;-1;-1;-1;-1;-1;06.01.2018 11:59
478800;-1;-1;-1;-1;-1;-1;06.01.2018 12:59
482400;-1;-1;-1;-1;-1;-1;06.01.2018 13:59
486000;-1;-1;-1;-1;-1;-1;06.01.2018 14:59
489600;-1;-1;-1;-1;-1;-1;06.01.2018 15:59
493200;-1;-1;-1;-1;-1;-1;06.01.2018 16:59
