#1	
double tab1(17521,2)   # comment line	
0	12.95066667
3599	12.95066667
3600	3.357333333
7199	3.357333333
7200	-6.986
10799	-6.986
10800	-10.68333333
14399	-10.68333333
14400	-10.906
17999	-10.906
18000	-12.57266667
21599	-12.57266667
21600	-15.95666667
25199	-15.95666667
25200	-15.342
28799	-15.342
28800	-13.48466667
32399	-13.48466667
32400	-9.875333333
35999	-9.875333333
36000	-6.166
39599	-6.166
39600	-3.421333333
43199	-3.421333333
43200	-0.705333333
46799	-0.705333333
46800	7.927333333
50399	7.927333333
50400	14.31533333
53999	14.31533333
54000	18.268
57599	18.268
57600	26.544
61199	26.544
61200	34.85733333
64799	34.85733333
64800	35.168
68399	35.168
68400	32.906
71999	32.906
72000	29.66666667
75599	29.66666667
75600	26.792
79199	26.792
79200	27.77066667
82799	27.77066667
82800	20.91866667
86399	20.91866667
86400	19.654
89999	19.654
90000	17.09733333
93599	17.09733333
93600	15.404
97199	15.404
97200	13.204
100799	13.204
100800	10.75066667
104399	10.75066667
104400	17.236
107999	17.236
108000	27.902
111599	27.902
111600	39.61933333
115199	39.61933333
115200	43.81533333
118799	43.81533333
118800	44.028
122399	44.028
122400	42.68866667
125999	42.68866667
126000	42.02133333
129599	42.02133333
129600	40.11066667
133199	40.11066667
133200	38.204
136799	38.204
136800	36.584
140399	36.584
140400	36.016
143999	36.016
144000	37.2
147599	37.2
147600	42.49133333
151199	42.49133333
151200	40.596
154799	40.596
154800	37.39266667
158399	37.39266667
158400	32.12133333
161999	32.12133333
162000	25.17333333
165599	25.17333333
165600	21.45133333
169199	21.45133333
169200	12.53533333
172799	12.53533333
172800	13.90666667
176399	13.90666667
176400	8.189333333
179999	8.189333333
180000	6.096
183599	6.096
183600	3.803333333
187199	3.803333333
187200	4.794
190799	4.794
190800	10.52
194399	10.52
194400	16.63266667
197999	16.63266667
198000	26.896
201599	26.896
201600	29.45866667
205199	29.45866667
205200	28.16666667
208799	28.16666667
208800	28.54133333
212399	28.54133333
212400	30.04266667
215999	30.04266667
216000	30.128
219599	30.128
219600	30.60066667
223199	30.60066667
223200	30.52733333
226799	30.52733333
226800	30.81533333
230399	30.81533333
230400	31.80133333
233999	31.80133333
234000	36.81066667
237599	36.81066667
237600	36.60733333
241199	36.60733333
241200	33.73133333
244799	33.73133333
244800	27.15666667
248399	27.15666667
248400	23.96133333
251999	23.96133333
252000	23.35133333
255599	23.35133333
255600	19.80733333
259199	19.80733333
259200	18.214
262799	18.214
262800	16.08666667
266399	16.08666667
266400	12.90933333
269999	12.90933333
270000	12.96133333
273599	12.96133333
273600	15.38866667
277199	15.38866667
277200	19.38066667
280799	19.38066667
280800	27.53733333
284399	27.53733333
284400	40.01
287999	40.01
288000	44.59466667
291599	44.59466667
291600	43.246
295199	43.246
295200	43.77933333
298799	43.77933333
298800	44.45333333
302399	44.45333333
302400	43.918
305999	43.918
306000	42.262
309599	42.262
309600	41.602
313199	41.602
313200	43.26733333
316799	43.26733333
316800	46.168
320399	46.168
320400	53.382
323999	53.382
324000	52.88066667
327599	52.88066667
327600	48.34733333
331199	48.34733333
331200	43.93666667
334799	43.93666667
334800	35.46533333
338399	35.46533333
338400	36.89933333
341999	36.89933333
342000	28.08466667
345599	28.08466667
345600	17.16133333
349199	17.16133333
349200	15.55333333
352799	15.55333333
352800	14.186
356399	14.186
356400	12.678
359999	12.678
360000	8.906
363599	8.906
363600	17.55
367199	17.55
367200	26.13133333
370799	26.13133333
370800	35.03066667
374399	35.03066667
374400	36.19133333
377999	36.19133333
378000	35.45466667
381599	35.45466667
381600	36.48133333
385199	36.48133333
385200	37.06066667
388799	37.06066667
388800	36.62
392399	36.62
392400	36.95466667
395999	36.95466667
396000	37.328
399599	37.328
399600	39.54866667
403199	39.54866667
403200	41.40733333
406799	41.40733333
406800	47.70333333
410399	47.70333333
410400	47.28133333
413999	47.28133333
414000	44.67
417599	44.67
417600	37.73333333
421199	37.73333333
421200	34.704
424799	34.704
424800	33.51266667
428399	33.51266667
428400	28.29666667
431999	28.29666667
432000	25.51866667
435599	25.51866667
435600	24.34866667
439199	24.34866667
439200	23.13533333
442799	23.13533333
442800	23.12733333
446399	23.12733333
446400	22.724
449999	22.724
450000	23.44733333
453599	23.44733333
453600	22.058
457199	22.058
457200	26.22933333
460799	26.22933333
460800	30.53466667
464399	30.53466667
464400	34.83866667
467999	34.83866667
468000	35.97266667
471599	35.97266667
471600	37.44
475199	37.44
475200	37.574
478799	37.574
478800	36.48
482399	36.48
482400	34.812
485999	34.812
486000	34.53066667
489599	34.53066667
489600	39.13066667
493199	39.13066667
493200	46.78133333
496799	46.78133333
496800	47.79933333
500399	47.79933333
500400	43.28933333
503999	43.28933333
504000	36.35866667
507599	36.35866667
507600	31.184
511199	31.184
511200	32.89533333
514799	32.89533333
514800	26.86333333
518399	26.86333333
518400	22.006
521999	22.006
522000	19.22266667
525599	19.22266667
525600	18.64333333
529199	18.64333333
529200	17.28466667
532799	17.28466667
532800	16.72133333
536399	16.72133333
536400	16.968
539999	16.968
540000	15.93866667
543599	15.93866667
543600	16.908
547199	16.908
