#1	
double tab1(8760,2)   # comment line	
3600	9.30E-05
7200	9.20E-05
10800	8.87E-05
14400	8.51E-05
18000	8.24E-05
21600	8.01E-05
25200	7.66E-05
28800	7.54E-05
32400	7.59E-05
36000	7.96E-05
39600	8.39E-05
43200	8.91E-05
46800	9.24E-05
50400	9.21E-05
54000	9.11E-05
57600	9.15E-05
61200	9.63E-05
64800	0.000103237
68400	0.000105242
72000	0.000103054
75600	9.95E-05
79200	9.72E-05
82800	9.92E-05
86400	9.49E-05
90000	8.95E-05
93600	8.52E-05
97200	8.30E-05
100800	8.18E-05
104400	8.18E-05
108000	8.11E-05
111600	7.99E-05
115200	8.49E-05
118800	9.18E-05
122400	9.87E-05
126000	0.000102496
129600	0.000105725
133200	0.000106956
136800	0.000105283
140400	0.000103978
144000	0.000104299
147600	0.000107641
151200	0.00011716
154800	0.000117938
158400	0.000115425
162000	0.000108904
165600	0.00010592
169200	0.000107119
172800	0.000102604
176400	9.67E-05
180000	9.26E-05
183600	8.94E-05
187200	8.62E-05
190800	8.52E-05
194400	8.34E-05
198000	8.05E-05
201600	8.21E-05
205200	8.51E-05
208800	8.99E-05
212400	9.48E-05
216000	0.000100066
219600	0.000101706
223200	9.91E-05
226800	9.73E-05
230400	9.70E-05
234000	0.000102117
237600	0.000110787
241200	0.000113026
244800	0.000110664
248400	0.00010636
252000	0.000104571
255600	0.000106751
259200	0.000101916
262800	9.66E-05
266400	9.20E-05
270000	8.96E-05
273600	8.84E-05
277200	8.92E-05
280800	9.12E-05
284400	9.86E-05
288000	0.000109614
291600	0.00011637
295200	0.000120591
298800	0.000123466
302400	0.000125863
306000	0.000126758
309600	0.000125403
313200	0.000124164
316800	0.000123337
320400	0.000125564
324000	0.000133413
327600	0.000132935
331200	0.0001308
334800	0.000124744
338400	0.000121176
342000	0.00011942
345600	0.000113697
349200	0.000109084
352800	0.000104716
356400	0.000101765
360000	0.00010013
363600	0.000100705
367200	0.000103646
370800	0.00011213
374400	0.000124834
378000	0.000130929
381600	0.000132593
385200	0.000133878
388800	0.000135638
392400	0.000136082
396000	0.000135354
399600	0.000133544
403200	0.000132411
406800	0.00013378
410400	0.000139756
414000	0.000141175
417600	0.000138901
421200	0.000132601
424800	0.000126778
428400	0.000124516
432000	0.000116465
435600	0.000110513
439200	0.000106051
442800	0.000102993
446400	0.000101219
450000	0.000101433
453600	0.000103427
457200	0.000110658
460800	0.000121714
464400	0.000126784
468000	0.000128602
471600	0.000130753
475200	0.00013291
478800	0.000133025
482400	0.000131252
486000	0.000129199
489600	0.000128362
493200	0.000129742
496800	0.000136156
500400	0.000138457
504000	0.000135982
507600	0.000129574
511200	0.000125304
514800	0.000123976
518400	0.00011689
522000	0.000110648
525600	0.000105791
529200	0.00010293
532800	0.000101321
536400	0.000102418
540000	0.000106943
543600	0.000118022
547200	0.000131985
550800	0.000136432
554400	0.000136713
558000	0.000137722
561600	0.000138907
565200	0.000138792
568800	0.000137511
572400	0.000135734
576000	0.000135229
579600	0.000135608
583200	0.000142309
586800	0.000143936
590400	0.000141973
594000	0.000135779
597600	0.000130454
601200	0.00012721
604800	0.000119653
608400	0.000113268
612000	0.000108789
615600	0.00010558
619200	0.00010338
622800	0.000104172
626400	0.000108034
630000	0.000117785
633600	0.000131135
637200	0.000135724
640800	0.00013669
644400	0.000137951
648000	0.000139232
651600	0.000139318
655200	0.000136696
658800	0.000134562
662400	0.000133172
666000	0.000134396
669600	0.000141445
673200	0.000142392
676800	0.000138821
680400	0.00013144
684000	0.000126866
687600	0.000125691
691200	0.000119848
694800	0.000115347
698400	0.000111254
702000	0.000108384
705600	0.000106112
709200	0.000105208
712800	0.000104321
716400	0.000103165
720000	0.000107608
723600	0.000113812
727200	0.000120167
730800	0.000124469
734400	0.0001273
738000	0.000128129
741600	0.000126019
745200	0.000122554
748800	0.000121551
752400	0.000123272
756000	0.000129426
759600	0.000131602
763200	0.000128284
766800	0.000121442
770400	0.00011809
774000	0.000118589
777600	0.000114749
781200	0.000109113
784800	0.000104383
788400	0.000101497
792000	9.85E-05
795600	9.65E-05
799200	9.36E-05
802800	8.89E-05
806400	9.04E-05
810000	9.56E-05
813600	0.000101816
817200	0.00010591
820800	0.000111338
824400	0.000111634
828000	0.00010768
831600	0.000104911
835200	0.000104145
838800	0.000106325
842400	0.000115885
846000	0.000121008
849600	0.000120333
853200	0.000115748
856800	0.000112897
860400	0.000114833
864000	0.000110138
867600	0.000105468
871200	0.000101333
874800	9.95E-05
878400	9.85E-05
882000	9.95E-05
885600	0.000104109
889200	0.000116845
892800	0.00012985
896400	0.000135274
900000	0.000136975
903600	0.00013876
907200	0.000141015
910800	0.000141287
914400	0.00014025
918000	0.000138176
921600	0.000136909
925200	0.000136821
928800	0.000142192
932400	0.000144329
936000	0.000142724
939600	0.00013684
943200	0.000131533
946800	0.000128876
950400	0.000120865
954000	0.000114356
957600	0.00011006
961200	0.000107531
964800	0.000106337
968400	0.000107048
972000	0.000111078
975600	0.000124516
979200	0.000138367
982800	0.000142687
986400	0.000142699
990000	0.000143342
993600	0.000143733
997200	0.000144216
1000800	0.00014317
1004400	0.00014139
1008000	0.00014054
1011600	0.000141072
1015200	0.000147434
1018800	0.000149677
1022400	0.000147689
1026000	0.000141072
1029600	0.000135751
1033200	0.000131803
1036800	0.000124017
1040400	0.000118114
1044000	0.000114232
1047600	0.000111241
1051200	0.000109461
1054800	0.000110648
1058400	0.000114686
1062000	0.000127253
1065600	0.000141175
1069200	0.000145712
1072800	0.000145534
1076400	0.000146674
1080000	0.000147536
1083600	0.000146805
1087200	0.000146441
1090800	0.000144846
1094400	0.000144061
1098000	0.000143995
1101600	0.000149683
1105200	0.000151441
1108800	0.000148879
1112400	0.000141076
1116000	0.000134887
1119600	0.000131477
1123200	0.000123919
1126800	0.000114997
1130400	0.000110642
1134000	0.000107443
1137600	0.000106301
1141200	0.00010664
1144800	0.000110893
1148400	0.00012265
1152000	0.000135857
1155600	0.000140121
1159200	0.000140391
1162800	0.000141514
1166400	0.000142935
1170000	0.000142857
1173600	0.000141774
1177200	0.000139648
1180800	0.000138197
1184400	0.000137622
1188000	0.000143461
1191600	0.000145344
1195200	0.000142818
1198800	0.000135747
1202400	0.00012941
1206000	0.000126088
1209600	0.000118249
1213200	0.000111898
1216800	0.000107666
1220400	0.000105298
1224000	0.00010425
1227600	0.000105277
1231200	0.000109491
1234800	0.000120703
1238400	0.000134332
1242000	0.000139144
1245600	0.000139754
1249200	0.000141506
1252800	0.000142863
1256400	0.000141922
1260000	0.000139885
1263600	0.000136743
1267200	0.000135188
1270800	0.000134795
1274400	0.000139893
1278000	0.000141304
1281600	0.000138103
1285200	0.000130706
1288800	0.000124926
1292400	0.000123086
1296000	0.000116544
1299600	0.000110384
1303200	0.00010568
1306800	0.000102672
1310400	0.000100733
1314000	9.99E-05
1317600	9.81E-05
1321200	9.71E-05
1324800	0.000103286
1328400	0.000110224
1332000	0.000116491
1335600	0.000120098
1339200	0.000122687
1342800	0.000122026
1346400	0.000118831
1350000	0.000116432
1353600	0.000116203
1357200	0.000117601
1360800	0.000124944
1364400	0.00012863
1368000	0.000125738
1371600	0.000118358
1375200	0.000115398
1378800	0.000115875
1382400	0.000111237
1386000	0.000106294
1389600	0.000101276
1393200	9.73E-05
1396800	9.57E-05
1400400	9.42E-05
1404000	9.08E-05
1407600	8.66E-05
1411200	8.74E-05
1414800	9.26E-05
1418400	9.96E-05
1422000	0.000104731
1425600	0.000110042
1429200	0.000109952
1432800	0.000106153
1436400	0.000103079
1440000	0.000101732
1443600	0.000102479
1447200	0.000110988
1450800	0.000116737
1454400	0.000115912
1458000	0.000111581
1461600	0.000109217
1465200	0.000110478
1468800	0.00010443
1472400	9.90E-05
1476000	9.50E-05
1479600	9.30E-05
1483200	9.28E-05
1486800	9.50E-05
1490400	0.000100553
1494000	0.000112547
1497600	0.000126555
1501200	0.000132501
1504800	0.000134183
1508400	0.000135241
1512000	0.000137718
1515600	0.000137141
1519200	0.00013649
1522800	0.000134384
1526400	0.00013309
1530000	0.000132437
1533600	0.000138025
1537200	0.00014055
1540800	0.000138287
1544400	0.000131514
1548000	0.000126041
1551600	0.000122288
1555200	0.000112713
1558800	0.00010549
1562400	0.000101798
1566000	0.000100377
1569600	0.000100404
1573200	0.000102551
1576800	0.000107209
1580400	0.000119766
1584000	0.000133655
1587600	0.000138817
1591200	0.000138798
1594800	0.000139828
1598400	0.00014081
1602000	0.00013992
1605600	0.000138682
1609200	0.000136565
1612800	0.000135804
1616400	0.00013538
1620000	0.000140634
1623600	0.000143002
1627200	0.000141162
1630800	0.000133718
1634400	0.00012792
1638000	0.000123636
1641600	0.000114504
1645200	0.000107684
1648800	0.000104094
1652400	0.000101655
1656000	0.000101687
1659600	0.000103353
1663200	0.000107729
1666800	0.000120167
1670400	0.000134496
1674000	0.00013897
1677600	0.000138839
1681200	0.000139294
1684800	0.000139957
1688400	0.000138538
1692000	0.000137327
1695600	0.00013572
1699200	0.000135176
1702800	0.000135174
1706400	0.000141191
1710000	0.000144548
1713600	0.000142133
1717200	0.000135256
1720800	0.000128235
1724400	0.00012432
1728000	0.000115998
1731600	0.000109467
1735200	0.000105533
1738800	0.000103572
1742400	0.000103048
1746000	0.000104188
