#1	
double tab1(17520,2)   # comment line	
0	1
3600	1
3601	1
7200	1
7201	1
10800	1
10801	1
14400	1
14401	1
18000	1
18001	1
21600	1
21601	1
25200	1
25201	0
28800	0
28801	0
32400	0
32401	0
36000	0
36001	0
39600	0
39601	0
43200	0
43201	0
46800	0
46801	0
50400	0
50401	0
54000	0
54001	0
57600	0
57601	1
61200	1
61201	1
64800	1
64801	1
68400	1
68401	1
72000	1
72001	1
75600	1
75601	1
79200	1
79201	1
82800	1
82801	1
86400	1
86401	1
90000	1
90001	1
93600	1
93601	1
97200	1
97201	1
100800	1
100801	1
104400	1
104401	1
108000	1
108001	1
111600	1
111601	0
115200	0
115201	0
118800	0
118801	0
122400	0
122401	0
126000	0
126001	0
129600	0
129601	0
133200	0
133201	0
136800	0
136801	0
140400	0
140401	0
144000	0
144001	1
147600	1
147601	1
151200	1
151201	1
154800	1
154801	1
158400	1
158401	1
162000	1
162001	1
165600	1
165601	1
169200	1
169201	1
172800	1
172801	1
176400	1
176401	1
180000	1
180001	1
183600	1
183601	1
187200	1
187201	1
190800	1
190801	1
194400	1
194401	1
198000	1
198001	0
201600	0
201601	0
205200	0
205201	0
208800	0
208801	0
212400	0
212401	0
216000	0
216001	0
219600	0
219601	0
223200	0
223201	0
226800	0
226801	0
230400	0
230401	1
234000	1
234001	1
237600	1
237601	1
241200	1
241201	1
244800	1
244801	1
248400	1
248401	1
252000	1
252001	1
255600	1
255601	1
259200	1
259201	1
262800	1
262801	1
266400	1
266401	1
270000	1
270001	1
273600	1
273601	1
277200	1
277201	1
280800	1
280801	1
284400	1
284401	0
288000	0
288001	0
291600	0
291601	0
295200	0
295201	0
298800	0
298801	0
302400	0
302401	0
306000	0
306001	0
309600	0
309601	0
313200	0
313201	0
316800	0
316801	1
320400	1
320401	1
324000	1
324001	1
327600	1
327601	1
331200	1
331201	1
334800	1
334801	1
338400	1
338401	1
342000	1
342001	1
345600	1
345601	1
349200	1
349201	1
352800	1
352801	1
356400	1
356401	1
360000	1
360001	1
363600	1
363601	1
367200	1
367201	1
