#1	
double tab1(17520,2)   # comment line	
0	2
3600	2
3601	2
7200	2
7201	2
10800	2
10801	2
14400	2
14401	2
18000	2
18001	2
21600	2
21601	2
25200	2
25201	2
28800	2
28801	2
32400	2
32401	2
36000	2
36001	2
39600	2
39601	2
43200	2
43201	2
46800	2
46801	2
50400	2
50401	2
54000	2
54001	2
57600	2
57601	2
61200	2
61201	2
64800	2
64801	2
68400	2
68401	2
72000	2
72001	2
75600	2
75601	2
79200	2
79201	2
82800	2
82801	2
86400	2
86401	2
90000	2
90001	2
93600	2
93601	2
97200	2
97201	2
100800	2
100801	2
104400	2
104401	2
108000	2
108001	2
111600	2
111601	2
115200	2
115201	2
118800	2
118801	2
122400	2
122401	2
126000	2
126001	2
129600	2
129601	2
133200	2
133201	2
136800	2
136801	2
140400	2
140401	2
144000	2
144001	2
147600	2
147601	2
151200	2
151201	2
154800	2
154801	2
158400	2
158401	2
162000	2
162001	2
165600	2
165601	2
169200	2
169201	2
172800	2
172801	2
176400	2
176401	2
180000	2
180001	2
183600	2
183601	2
187200	2
187201	2
190800	2
190801	2
194400	2
194401	2
198000	2
198001	2
201600	2
201601	2
205200	2
205201	2
208800	2
208801	2
212400	2
212401	2
216000	2
216001	2
219600	2
219601	2
223200	2
223201	2
226800	2
226801	2
230400	2
230401	2
234000	2
234001	2
237600	2
237601	2
241200	2
241201	2
244800	2
244801	2
248400	2
248401	2
252000	2
252001	2
255600	2
255601	2
259200	2
259201	2
262800	2
262801	2
266400	2
266401	2
270000	2
270001	2
273600	2
273601	2
277200	2
277201	2
280800	2
280801	2
284400	2
284401	2
288000	2
288001	2
291600	2
291601	2
295200	2
295201	2
298800	2
298801	2
302400	2
302401	2
306000	2
306001	2
309600	2
309601	2
313200	2
313201	2
316800	2
316801	2
320400	2
320401	2
324000	2
324001	2
327600	2
327601	2
331200	2
331201	2
334800	2
334801	2
338400	2
338401	2
342000	2
342001	2
345600	2
345601	2
349200	2
349201	2
352800	2
352801	2
356400	2
356401	2
360000	2
360001	2
363600	2
363601	2
367200	2
367201	2
370800	2
370801	2
374400	2
374401	2
378000	2
378001	2
381600	2
381601	2
385200	2
385201	2
388800	2
388801	2
392400	2
392401	2
396000	2
396001	2
399600	2
399601	2
403200	2
403201	2
406800	2
406801	2
410400	2
410401	2
414000	2
414001	2
417600	2
417601	2
421200	2
421201	2
424800	2
424801	2
428400	2
428401	2
432000	2
432001	2
435600	2
435601	2
439200	2
439201	2
442800	2
442801	2
446400	2
446401	2
450000	2
450001	2
453600	2
453601	2
457200	2
457201	2
460800	2
460801	2
464400	2
464401	2
468000	2
468001	2
471600	2
471601	2
475200	2
475201	2
478800	2
478801	2
482400	2
482401	2
486000	2
486001	2
489600	2
489601	2
493200	2
493201	2
496800	2
496801	2
500400	2
500401	2
504000	2
504001	2
507600	2
507601	2
511200	2
511201	2
514800	2
514801	2
518400	2
518401	2
522000	2
522001	2
525600	2
525601	2
529200	2
529201	2
532800	2
532801	2
536400	2
536401	2
540000	2
540001	2
543600	2
543601	2
547200	2
547201	2
550800	2
550801	2
554400	2
554401	2
558000	2
558001	2
561600	2
561601	2
565200	2
565201	2
568800	2
568801	2
572400	2
572401	2
576000	2
576001	2
579600	2
579601	2
583200	2
583201	2
586800	2
586801	2
590400	2
590401	2
594000	2
594001	2
597600	2
597601	2
601200	2
601201	2
604800	2
604801	2
608400	2
608401	2
612000	2
612001	2
615600	2
615601	2
619200	2
619201	2
622800	2
622801	2
626400	2
626401	2
630000	2
630001	2
633600	2
633601	2
637200	2
637201	2
640800	2
640801	2
644400	2
644401	2
648000	2
648001	2
651600	2
651601	2
655200	2
655201	2
658800	2
658801	2
662400	2
662401	2
666000	2
666001	2
669600	2
669601	2
673200	2
673201	2
676800	2
676801	2
680400	2
680401	2
684000	2
684001	2
687600	2
687601	2
691200	2
691201	2
694800	2
694801	2
698400	2
698401	2
702000	2
702001	2
705600	2
705601	2
709200	2
709201	2
712800	2
712801	2
716400	2
716401	2
720000	2
720001	2
723600	2
