#1	
double tab1(35040,2) # comment line	
900	0.00E+00
1800	0.00E+00
2700	0.00E+00
3600	0.00E+00
4500	0.00E+00
5400	0.00E+00
6300	0.00E+00
7200	0.00E+00
8100	0.00E+00
9000	0.00E+00
9900	0.00E+00
10800	0.00E+00
11700	0.00E+00
12600	0.00E+00
13500	0.00E+00
14400	0.00E+00
15300	0.00E+00
16200	0.00E+00
17100	0.00E+00
18000	0.00E+00
18900	0.00E+00
19800	0.00E+00
20700	0.00E+00
21600	0.00E+00
22500	0.00E+00
23400	0.00E+00
24300	0.00E+00
25200	0.00E+00
26100	0.00E+00
27000	0.00E+00
27900	0.00E+00
28800	0.00E+00
29700	0.00E+00
30600	0.00E+00
31500	0.00E+00
32400	0.00E+00
33300	0.00E+00
34200	0.00E+00
35100	0.00E+00
36000	0.00E+00
36900	0.00E+00
37800	0.00E+00
38700	0.00E+00
39600	0.00E+00
40500	0.00E+00
41400	0.00E+00
42300	0.00E+00
43200	0.00E+00
44100	2.50E-06
45000	5.40E-06
45900	6.80E-06
46800	6.80E-06
47700	6.80E-06
48600	6.80E-06
49500	6.80E-06
50400	6.80E-06
51300	6.80E-06
52200	6.80E-06
53100	6.80E-06
54000	6.80E-06
54900	5.40E-06
55800	2.50E-06
56700	0.00E+00
57600	0.00E+00
58500	0.00E+00
59400	0.00E+00
60300	0.00E+00
61200	2.50E-06
62100	5.68E-05
63000	5.82E-05
63900	5.82E-05
64800	5.82E-05
65700	5.82E-05
66600	5.68E-05
67500	5.39E-05
68400	5.11E-05
69300	4.25E-05
70200	3.68E-05
71100	3.39E-05
72000	3.11E-05
72900	2.82E-05
73800	2.54E-05
74700	2.25E-05
75600	1.97E-05
76500	1.68E-05
77400	1.40E-05
78300	1.11E-05
79200	8.20E-06
80100	5.40E-06
81000	2.50E-06
81900	0.00E+00
82800	0.00E+00
83700	0.00E+00
84600	0.00E+00
85500	0.00E+00
86400	0.00E+00
87300	0.00E+00
88200	0.00E+00
89100	0.00E+00
90000	0.00E+00
90900	0.00E+00
91800	0.00E+00
92700	0.00E+00
93600	0.00E+00
94500	0.00E+00
95400	0.00E+00
96300	0.00E+00
97200	0.00E+00
98100	0.00E+00
99000	0.00E+00
99900	0.00E+00
100800	0.00E+00
101700	0.00E+00
102600	0.00E+00
103500	0.00E+00
104400	0.00E+00
105300	0.00E+00
106200	0.00E+00
107100	0.00E+00
108000	0.00E+00
108900	0.00E+00
109800	0.00E+00
110700	0.00E+00
111600	0.00E+00
112500	0.00E+00
113400	0.00E+00
114300	0.00E+00
115200	0.00E+00
116100	0.00E+00
117000	0.00E+00
117900	0.00E+00
118800	0.00E+00
119700	0.00E+00
120600	0.00E+00
121500	0.00E+00
122400	0.00E+00
123300	0.00E+00
124200	0.00E+00
125100	0.00E+00
126000	0.00E+00
126900	0.00E+00
127800	0.00E+00
128700	0.00E+00
129600	0.00E+00
130500	2.50E-06
131400	5.40E-06
132300	6.80E-06
133200	6.80E-06
134100	6.80E-06
